order_id,month,customer_familiarity,acquisition_channel,units
1,2025-11,familiar,search,2
2,2025-11,familiar,tiktok_creator,3
3,2025-11,familiar,repeat_purchase,1
4,2025-11,familiar,search,2
5,2025-11,familiar,repeat_purchase,1
6,2025-11,new,tiktok_creator,1
7,2025-11,familiar,referral,2
8,2025-11,new,repeat_purchase,2
9,2025-11,familiar,tiktok_creator,1
10,2025-11,new,tiktok_creator,1
11,2025-11,familiar,repeat_purchase,1
12,2025-11,new,tiktok_creator,1
13,2025-11,new,tiktok_creator,1
14,2025-11,familiar,search,2
15,2025-11,familiar,search,2
16,2025-11,familiar,search,1
17,2025-11,familiar,tiktok_creator,1
18,2025-11,new,search,1
19,2025-11,familiar,repeat_purchase,1
20,2025-11,familiar,tiktok_creator,1
21,2025-11,familiar,search,1
22,2025-11,familiar,referral,1
23,2025-11,familiar,search,1
24,2025-11,new,tiktok_creator,1
25,2025-11,familiar,search,1
26,2025-11,new,tiktok_creator,1
27,2025-11,familiar,repeat_purchase,1
28,2025-11,new,search,1
29,2025-11,new,tiktok_creator,1
30,2025-11,familiar,tiktok_creator,1
31,2025-11,new,search,1
32,2025-11,new,tiktok_creator,1
33,2025-11,new,tiktok_creator,1
34,2025-11,familiar,repeat_purchase,1
35,2025-11,new,repeat_purchase,2
36,2025-11,familiar,search,1
37,2025-11,new,referral,1
38,2025-11,new,tiktok_creator,1
39,2025-11,new,referral,2
40,2025-11,familiar,search,1
41,2025-11,familiar,referral,1
42,2025-11,new,tiktok_creator,1
43,2025-11,new,tiktok_creator,1
44,2025-11,familiar,tiktok_creator,2
45,2025-11,familiar,search,1
46,2025-11,new,repeat_purchase,1
47,2025-11,familiar,tiktok_creator,1
48,2025-11,familiar,repeat_purchase,1
49,2025-11,familiar,search,1
50,2025-11,familiar,search,1
51,2025-11,familiar,repeat_purchase,1
52,2025-11,familiar,tiktok_creator,1
53,2025-11,new,tiktok_creator,1
54,2025-11,familiar,tiktok_creator,2
55,2025-11,new,tiktok_creator,1
56,2025-11,new,referral,2
57,2025-11,new,repeat_purchase,1
58,2025-11,familiar,search,2
59,2025-11,new,tiktok_creator,1
60,2025-11,familiar,repeat_purchase,1
61,2025-11,familiar,repeat_purchase,1
62,2025-11,new,search,1
63,2025-11,new,tiktok_creator,1
64,2025-11,new,repeat_purchase,1
65,2025-11,new,referral,1
66,2025-11,new,tiktok_creator,2
67,2025-11,new,tiktok_creator,2
68,2025-11,familiar,search,1
69,2025-11,new,tiktok_creator,1
70,2025-11,familiar,tiktok_creator,1
71,2025-11,familiar,search,1
72,2025-11,familiar,repeat_purchase,1
73,2025-11,new,tiktok_creator,2
74,2025-11,new,tiktok_creator,1
75,2025-11,familiar,repeat_purchase,1
76,2025-11,familiar,tiktok_creator,1
77,2025-11,familiar,tiktok_creator,1
78,2025-11,new,repeat_purchase,1
79,2025-11,familiar,repeat_purchase,1
80,2025-11,familiar,tiktok_creator,1
81,2025-11,familiar,repeat_purchase,1
82,2025-11,familiar,referral,2
83,2025-11,familiar,search,1
84,2025-11,new,tiktok_creator,2
85,2025-11,familiar,search,1
86,2025-11,familiar,repeat_purchase,1
87,2025-11,new,tiktok_creator,1
88,2025-11,familiar,search,1
89,2025-11,familiar,tiktok_creator,1
90,2025-11,new,tiktok_creator,1
91,2025-11,new,tiktok_creator,1
92,2025-11,familiar,referral,1
93,2025-11,new,tiktok_creator,2
94,2025-11,familiar,tiktok_creator,1
95,2025-11,new,tiktok_creator,1
96,2025-11,new,tiktok_creator,1
97,2025-11,familiar,tiktok_creator,2
98,2025-11,new,repeat_purchase,1
99,2025-11,familiar,repeat_purchase,3
